행정동,도구명,규격,수량,단위
본리동,호스릴,Z-GH30,2,개
본리동,콤프레샤,계양2.5HP,1,대
본리동,고속절단기,"계양14""",1,개
본리동,고지가위,화신S-330,2,개
본리동,충전드릴,보쉬GSR 18V 2LI,2,대
본리동,공구세트,세신15P,2,개
본리동,공구통,특5호,2,개
본리동,사다리,"A형6칸,A형5칸,A형3칸",각1,개
본리동,바이스 플라이스,어윈250mm,2,개
본리동,다목적가위,화신,2,개
본리동,톱,타지마265,0,SET
본리동,전지가위,ARS120 DX-K,2,개
본리동,스패너,10*21,2,SET
본리동,펜치,200mm,2,개
본리동,조경가위,호신k-570,2,개
본리동,니퍼,160mm,2,개
본리동,몽키,300mm,2,개
용산1동,사다리,5칸,2,개
용산1동,충전드릴,18V,1,세트
용산1동,드릴용 + SET,,1,세트
용산1동,공구세트,15p,3,세트
용산1동,고지가위,가위,2,개
용산1동,전지톱,350M,2,개
용산1동,전지가위,가위,2,개
용산1동,목재용톱,240M,2,개
용산1동,절단기,350,1,개
용산1동,절단기,500,1,개
용산1동,전선릴,30,1,개
용산1동,다목적가위,가위,4,개
용산1동,몽키,250M,2,개
용산1동,파이프렌치,350,2,개
용산1동,줄자,10X25,2,개
용산1동,안전발판사다리,광폭규격,1,개
용산1동,핸드타카,반자동,2,개
용산1동,핸드그라인더,유선식,1,개
용산1동,현수막제거기,낫형,1,개
용산1동,빠루,1미터,1,개
용산1동,미니콤푸레샤,7미터 연장선,1,개
용산1동,전동드릴(유선),유선식,1,개
용산1동,히팅건,유선식,1,개
용산1동,이지스트리퍼,다용도스트리퍼,1,개
