연번,공구대여소,도로명주소,공구종류,대여기간,대여조건,운영요일,운영시작시각,운영종료시각,문의,홈페이지
1,과천시민회관 종합상황실(지하2층),경기도 과천시 통영로 5,"전기햄머드릴, 충전드라이버, 인두셋트, 글루건셋트, 파이프랜치, 몽키스패너, 볼트카타, 볼렌치셋트, 스패너세트, 첼라, 바이스그립, 함석가위, 양손가위, 실리콘건, 쇠톱, 접톱, 망치, 스트립퍼, 줄자, 롱로우즈, 니퍼, 뺀치, 동관절단기, 드라이버, 주먹드라이버, 스크류리무버, 사다리, 전기릴선, 전정가위, 드릴날세트, 타일줄눈제거기, 보안경, 시계드라이버, 소형수평계, 핸드카트, 이지무버, 충전임펙렌치, 임펙소켓세트, 핸드타카,  충전식 투광기",3일(연장1회 가능),"과천시 거주 주민, 과천도시공사 시설이용 고객(신분증 지참)",연중,9:00,18:00,02-509-0909,https://www.gcuc.or.kr/fmcs/781
2,관문체육공원내 실내체육관 안내데스크(지하1층),경기도 과천시 중앙로 294,"전기햄머드릴, 충전드라이버, 인두셋트, 글루건셋트, 파이프랜치, 몽키스패너, 볼트카타, 볼렌치셋트, 스패너세트, 첼라, 바이스그립, 함석가위, 양손가위, 실리콘건, 쇠톱, 접톱, 망치, 스트립퍼, 줄자, 롱로우즈, 니퍼, 뺀치, 동관절단기, 드라이버, 주먹드라이버, 스크류리무버, 사다리, 전기릴선, 전정가위, 드릴날세트, 타일줄눈제거기, 보안경, 시계드라이버, 소형수평계, 핸드카트, 이지무버, 충전임펙렌치, 임펙소켓세트, 핸드타카,  충전식 투광기",3일(연장1회 가능),"과천시 거주 주민, 과천도시공사 시설이용 고객(신분증 지참)",평일(공휴일 제외),9:00,18:00,02-500-1430,https://www.gcuc.or.kr/fmcs/781
3,청소년수련관 중앙통제실(1층),경기도 과천시 참마을로 9,"전기햄머드릴, 충전드라이버, 인두셋트, 글루건셋트, 파이프랜치, 몽키스패너, 볼트카타, 볼렌치셋트, 스패너세트, 첼라, 바이스그립, 함석가위, 양손가위, 실리콘건, 쇠톱, 접톱, 망치, 스트립퍼, 줄자, 롱로우즈, 니퍼, 뺀치, 동관절단기, 드라이버, 주먹드라이버, 스크류리무버, 사다리, 전기릴선, 전정가위, 드릴날세트, 타일줄눈제거기, 보안경, 시계드라이버, 소형수평계, 핸드카트, 이지무버, 충전임펙렌치, 임펙소켓세트, 핸드타카,  충전식 투광기",3일(연장1회 가능),"과천시 거주 주민, 과천도시공사 시설이용 고객(신분증 지참)",평일(공휴일 제외),9:00,18:00,02-500-1283,https://www.gcuc.or.kr/fmcs/781
