연번,기관명,도로명주소,전화번호,데이터기준일
1,구월3동 행정복지센터,인천광역시 남동구 석정로 575 3층,032-453-5265,2025-01-01
2,구월4동 행정복지센터,인천광역시 남동구 구월말로 7,032-453-5283,2025-01-01
3,간석3동 행정복지센터,인천광역시 남동구 용천로 186,032-439-6700,2025-01-01
4,간석4동 행정복지센터,인천광역시 남동구 벽돌말로 19번길 7 2층,032-453-6463,2025-01-01
5,어울림커뮤니티센터,인천광역시 남동구 남촌동로26번길 20 3층,032-473-7169,2025-01-01
6,만수2동 행정복지센터,인천광역시 남동구 만수서로 46,032-453-5410,2025-01-01
7,만수5동 행정복지센터,인천광역시 남동구 석정로 552,032-453-5474,2025-01-01
8,장수서창동 행정복지센터,인천광역시 남동구 남촌동 376-10 남촌어울림커뮤니티센터 3층,032-453-5502,2025-01-01
9,논현고잔동 행정복지센터,인천광역시 남동구 앵고개로847번길 32 ,032-453-6398,2025-01-01
