"등록번호","제목","등록일시","바로가기"
"4025","「안심 고시원 냉?난방비 지원 사업」 참여자 모집공고","2024-10-25 17:29:07.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4025"
"3925","안심고시원 지원사업 3차 참여자 모집 공고","2024-07-25 13:54:21.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3925"
"3924","2024년 집수리 아카데미 심화과정(2회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2024-07-25 09:13:01.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3924"
"3923","서울특별시 주거환경개선과 개인정보 처리방침(2024. 7. 15.~) ","2024-07-24 11:04:23.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3923"
"3892","서울특별시 주거환경개선과 개인정보 처리방침(2024. 7. 3.~)","2024-07-03 10:03:02.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3892"
"3891","2024년 집수리 아카데미 심화과정(2회차) 교육생 모집안내","2024-07-01 13:53:55.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3891"
"3882","2024년 집수리 아카데미 기초과정(4회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2024-06-25 13:45:53.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3882"
"3876","서울특별시 주거환경개선과 개인정보 처리방침(2024. 1. 10.~)","2024-06-24 10:39:31.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3876"
"3872","2024년 안심 집수리 융자?이자 지원 사업 참여자 추가모집 공고","2024-06-21 10:22:44.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3872"
"3869","2024년 집수리 아카데미 심화과정(1회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지","2024-06-20 17:43:33.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3869"
"3836","2024년 집수리 아카데미 기초과정(4회차) 교육생 모집안내","2024-06-04 10:36:23.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3836"
"3832","2024년 집수리 아카데미 심화과정(1회차) 교육생 모집안내","2024-05-30 13:46:50.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3832"
"3830","2024년 집수리 아카데미 기초과정(3회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2024-05-30 13:06:26.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3830"
"3809","안심고시원 지원사업 2차 참여자 모집 공고","2024-05-27 17:46:01.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3809"
"3804","2024년 집수리 아카데미 기초과정(2회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2024-05-27 09:54:26.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3804"
"3789","2024년 집수리 아카데미 기초과정(1회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2024-05-21 17:32:06.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3789"
"3767","2024년 집수리 아카데미 기초과정(3회차) 교육생 모집안내","2024-05-09 16:07:57.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3767"
"3766","2024년 집수리 아카데미 기초과정(2회차) 교육생 모집안내","2024-05-09 16:05:19.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3766"
"3765","2024년 집수리 아카데미 기초과정(1회차) 교육생 모집안내","2024-05-09 15:56:42.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3765"
"3761","2024년 안심 집수리 보조사업 참여 (기존)시공업체 하자보증보험 가입관련 추가 안내","2024-05-08 14:49:44.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3761"
"3701","안심고시원 지원사업 참여자 모집 공고","2024-04-05 11:14:53.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3701"
"4049","2024년도 집수리업체 신규등록 안내","2024-03-28 00:00:00.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=4049"
"3650","2024년 안심 집수리 보조사업 참여자 모집 공고","2024-03-21 17:47:54.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3650"
"3608","주택성능개선지원구역 지정취소 공고(서울특별시 공고 제2024-614호)","2024-02-26 16:31:56.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3608"
"3552","주택성능개선지원구역 신규 지정 공고(서울특별시 공고 제2024-188호)","2024-01-22 18:03:47.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3552"
"3543","2024년 안심 집수리 융자?이자 지원 사업 참여자 모집 공고","2024-01-19 12:12:54.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3543"
"3536","2023년 집수리 사업 참여 시공업체 만족도 조사 결과","2024-01-09 16:37:21.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3536"
"3485","서울특별시 주거환경개선과 개인정보 처리방침(2023. 11. 29.~)","2023-11-29 16:35:58.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3485"
"3446","2023년 안심 집수리 융자사업 참여자 추가 모집공고","2023-10-31 17:42:11.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3446"
"3408","2023년 집수리 아카데미 심화과정(3회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-09-25 11:01:37.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3408"
"3390","2023년 집수리 아카데미 기초과정(10회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-09-20 11:07:13.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3390"
"3378","2023년도 안심 집수리 보조사업 3차 참여자 모집 (재)공고","2023-09-15 09:22:29.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3378"
"3375","2023년 집수리 아카데미 기초과정(9회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-09-14 16:44:31.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3375"
"3365","2023년 집수리 아카데미 심화과정(3회차) 교육생 모집안내","2023-09-12 15:33:08.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3365"
"3361"," 안심집수리 기존 시공업체 재정비 관련 서류제출 안내","2023-09-11 18:10:47.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3361"
"3346","2023년 집수리 아카데미 기초과정(10회차) 교육생 모집안내","2023-09-05 16:30:26.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3346"
"3345","2023년 집수리 아카데미 기초과정(9회차) 교육생 모집안내","2023-09-05 09:41:42.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3345"
"3337","2023년 집수리 아카데미 기초과정 8회차 교육대상자 명단 및 안내사항 공지 ","2023-08-25 14:07:46.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3337"
"3324","2023년도 안심 집수리 보조사업 3차 참여자 모집공고","2023-08-24 14:37:20.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3324"
